Date,Underemployment_Rate
1/02/1978,7.5
1/03/1978,6.6
1/04/1978,6.2
1/05/1978,6.2
1/06/1978,6.1
1/07/1978,5.9
1/08/1978,6.2
1/09/1978,6
1/10/1978,5.8
1/11/1978,5.8
1/12/1978,6.8
1/01/1979,7
1/02/1979,7
1/03/1979,6.6
1/04/1979,6.5
1/05/1979,6.2
1/06/1979,6.1
1/07/1979,6
1/08/1979,5.8
1/09/1979,6.1
1/10/1979,6
1/11/1979,5.5
1/12/1979,6.4
1/01/1980,6.7
1/02/1980,6.7
1/03/1980,6.2
1/04/1980,6.2
1/05/1980,6.2
1/06/1980,6.1
1/07/1980,5.8
1/08/1980,5.9
1/09/1980,6
1/10/1980,5.7
1/11/1980,5.4
1/12/1980,6.3
1/01/1981,6.5
1/02/1981,6.3
1/03/1981,6
1/04/1981,5.6
1/05/1981,5.6
1/06/1981,5.2
1/07/1981,5.6
1/08/1981,5.6
1/09/1981,5.7
1/10/1981,5.5
1/11/1981,5.5
1/12/1981,6.3
1/01/1982,6.5
1/02/1982,7.1
1/03/1982,6.7
1/04/1982,6.4
1/05/1982,6.6
1/06/1982,6.6
1/07/1982,6.6
1/08/1982,6.7
1/09/1982,7.3
1/10/1982,7.8
1/11/1982,8
1/12/1982,9.6
1/01/1983,10.1
1/02/1983,10.7
1/03/1983,10.4
1/04/1983,10.2
1/05/1983,10.3
1/06/1983,10
1/07/1983,9.8
1/08/1983,9.9
1/09/1983,10.2
1/10/1983,9.3
1/11/1983,8.9
1/12/1983,9.7
1/01/1984,10.3
1/02/1984,10.4
1/03/1984,9.7
1/04/1984,9.4
1/05/1984,8.9
1/06/1984,8.9
1/07/1984,8.4
1/08/1984,8.5
1/09/1984,8.6
1/10/1984,8.1
1/11/1984,8
1/12/1984,8.6
1/01/1985,9.3
1/02/1985,9.3
1/03/1985,9.2
1/04/1985,8.5
1/05/1985,8.4
1/06/1985,8.4
1/07/1985,7.8
1/08/1985,7.9
1/09/1985,8
1/10/1985,7.3
1/11/1985,7.3
1/12/1985,7.9
1/01/1986,8.5
1/02/1986,8.8
1/03/1986,8.4
1/04/1986,8
1/05/1986,7.8
1/06/1986,7.4
1/07/1986,7.9
1/08/1986,8
1/09/1986,8.2
1/10/1986,7.8
1/11/1986,7.7
1/12/1986,8.4
1/01/1987,8.9
1/02/1987,9.1
1/03/1987,9
1/04/1987,8.4
1/05/1987,8.2
1/06/1987,7.8
1/07/1987,7.8
1/08/1987,7.8
1/09/1987,7.7
1/10/1987,7.5
1/11/1987,7.3
1/12/1987,7.8
1/01/1988,8.3
1/02/1988,8.2
1/03/1988,8
1/04/1988,8
1/05/1988,7.5
1/06/1988,7.2
1/07/1988,6.6
1/08/1988,6.8
1/09/1988,6.9
1/10/1988,6.4
1/11/1988,6.1
1/12/1988,6.9
1/01/1989,7.4
1/02/1989,7.3
1/03/1989,6.7
1/04/1989,6.3
1/05/1989,6.3
1/06/1989,5.8
1/07/1989,5.9
1/08/1989,5.7
1/09/1989,6
1/10/1989,5.5
1/11/1989,5.4
1/12/1989,5.9
1/01/1990,6.7
1/02/1990,7.1
1/03/1990,6.5
1/04/1990,6.3
1/05/1990,6.5
1/06/1990,6.4
1/07/1990,6.7
1/08/1990,7
1/09/1990,7.3
1/10/1990,7.1
1/11/1990,7.4
1/12/1990,8.1
1/01/1991,9.1
1/02/1991,9.5
1/03/1991,9.6
1/04/1991,9.9
1/05/1991,9.5
1/06/1991,9
1/07/1991,9.5
1/08/1991,9.5
1/09/1991,10
1/10/1991,9.4
1/11/1991,9.6
1/12/1991,10.5
1/01/1992,11.2
1/02/1992,11.5
1/03/1992,10.9
1/04/1992,10.5
1/05/1992,10.6
1/06/1992,10.5
1/07/1992,10.6
1/08/1992,10.4
1/09/1992,10.6
1/10/1992,10.4
1/11/1992,10.5
1/12/1992,11.2
1/01/1993,11.7
1/02/1993,12.1
1/03/1993,11.3
1/04/1993,10.8
1/05/1993,10.7
1/06/1993,10.7
1/07/1993,10.4
1/08/1993,10.7
1/09/1993,10.7
1/10/1993,10.3
1/11/1993,10.3
1/12/1993,10.7
1/01/1994,11.4
1/02/1994,11.5
1/03/1994,10.8
1/04/1994,10.1
1/05/1994,9.7
1/06/1994,9.5
1/07/1994,9.1
1/08/1994,9.2
1/09/1994,9.3
1/10/1994,8.6
1/11/1994,8.6
1/12/1994,8.9
1/01/1995,9.5
1/02/1995,9.8
1/03/1995,9
1/04/1995,8.3
1/05/1995,8.4
1/06/1995,8.1
1/07/1995,7.9
1/08/1995,8.1
1/09/1995,8.4
1/10/1995,8.1
1/11/1995,8
1/12/1995,8.1
1/01/1996,9.1
1/02/1996,9.2
1/03/1996,8.8
1/04/1996,8.7
1/05/1996,8.4
1/06/1996,8
1/07/1996,8
1/08/1996,8.5
1/09/1996,8.6
1/10/1996,8.3
1/11/1996,8
1/12/1996,8.5
1/01/1997,9.2
1/02/1997,9.7
1/03/1997,9
1/04/1997,8.6
1/05/1997,8.5
1/06/1997,8.1
1/07/1997,8
1/08/1997,8.3
1/09/1997,8.1
1/10/1997,7.6
1/11/1997,7.5
1/12/1997,7.8
1/01/1998,8.5
1/02/1998,8.6
1/03/1998,8.2
1/04/1998,7.6
1/05/1998,7.7
1/06/1998,7.6
1/07/1998,7.4
1/08/1998,7.5
1/09/1998,7.6
1/10/1998,6.9
1/11/1998,7.2
1/12/1998,7
1/01/1999,7.7
1/02/1999,7.9
1/03/1999,7.3
1/04/1999,7
1/05/1999,7
1/06/1999,6.5
1/07/1999,6.2
1/08/1999,6.7
1/09/1999,7.1
1/10/1999,6.4
1/11/1999,6.1
1/12/1999,6.6
1/01/2000,7.3
1/02/2000,7.4
1/03/2000,6.9
1/04/2000,6.4
1/05/2000,6.4
1/06/2000,5.9
1/07/2000,5.5
1/08/2000,5.9
1/09/2000,6
1/10/2000,5.7
1/11/2000,5.9
1/12/2000,6.1
1/01/2001,6.6
1/02/2001,7.3
1/03/2001,6.8
1/04/2001,6.9
1/05/2001,6.9
1/06/2001,6.7
1/07/2001,6.3
1/08/2001,6.6
1/09/2001,6.9
1/10/2001,6.8
1/11/2001,6.5
1/12/2001,6.7
1/01/2002,7.6
1/02/2002,7.3
1/03/2002,6.7
1/04/2002,6.4
1/05/2002,6.4
1/06/2002,6.3
1/07/2002,5.7
1/08/2002,6.1
1/09/2002,6.4
